_nwb_path,subject_id,reward_block,block_order,block_start_from_session_seconds,block_stop_from_session_seconds,block_duration_seconds,n_trials,is_technically_valid
https://dandiarchive.s3.amazonaws.com/blobs/e00/438/e0043830-9418-4875-88b6-c0b5aefca5ae,614547,engaged_1,1,0.0,881.5198899999999,881.5198899999999,224,true
https://dandiarchive.s3.amazonaws.com/blobs/e00/438/e0043830-9418-4875-88b6-c0b5aefca5ae,614547,no_reward,2,882.2037899999999,2371.06553,1488.8617399999998,156,true
https://dandiarchive.s3.amazonaws.com/blobs/e00/438/e0043830-9418-4875-88b6-c0b5aefca5ae,614547,engaged_2,3,2389.83083,3902.8133,1512.98247,259,true
https://dandiarchive.s3.amazonaws.com/blobs/e52/a35/e52a35c1-68c0-4750-9822-c73be5911a37,614547,engaged_1,1,0.0,887.22484,887.22484,183,true
https://dandiarchive.s3.amazonaws.com/blobs/e52/a35/e52a35c1-68c0-4750-9822-c73be5911a37,614547,no_reward,2,887.35823,2387.9965399999996,1500.6383099999998,160,true
https://dandiarchive.s3.amazonaws.com/blobs/e52/a35/e52a35c1-68c0-4750-9822-c73be5911a37,614547,engaged_2,3,2388.01313,3903.1308599999998,1515.11773,339,true
https://dandiarchive.s3.amazonaws.com/blobs/0bd/fcc/0bdfccec-c7f5-413e-b52d-4ad1895672fa,614608,engaged_1,1,0.0,884.37176,884.37176,133,true
https://dandiarchive.s3.amazonaws.com/blobs/0bd/fcc/0bdfccec-c7f5-413e-b52d-4ad1895672fa,614608,no_reward,2,884.38797,2387.4279399999996,1503.0399699999998,154,true
https://dandiarchive.s3.amazonaws.com/blobs/0bd/fcc/0bdfccec-c7f5-413e-b52d-4ad1895672fa,614608,engaged_2,3,2388.1781,3906.8991100000003,1518.7210100000002,229,true
https://dandiarchive.s3.amazonaws.com/blobs/170/d5f/170d5fde-4cd2-400a-9e5e-40fbcb9b6985,614608,engaged_1,1,0.0,889.61072,889.61072,153,true
https://dandiarchive.s3.amazonaws.com/blobs/170/d5f/170d5fde-4cd2-400a-9e5e-40fbcb9b6985,614608,no_reward,2,890.36073,2385.04447,1494.68374,157,true
https://dandiarchive.s3.amazonaws.com/blobs/170/d5f/170d5fde-4cd2-400a-9e5e-40fbcb9b6985,614608,engaged_2,3,2385.79453,3901.8624099999997,1516.0678799999996,205,true
https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,engaged_1,1,0.0,887.70926,887.70926,167,true
https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,no_reward,2,888.12433,2385.79462,1497.67029,156,true
https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,engaged_2,3,2386.54347,3903.70126,1517.1577899999997,219,true
https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,engaged_1,1,0.0,886.67445,886.67445,137,true
https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,no_reward,2,886.69049,2386.67944,1499.9889500000002,157,true
https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,engaged_2,3,2387.42872,3901.69587,1514.2671500000001,256,true
https://dandiarchive.s3.amazonaws.com/blobs/333/44c/33344c82-0b1b-48ac-b5b1-ba6eac47f6e2,615047,engaged_1,1,0.0,888.9907800000001,888.9907800000001,199,true
https://dandiarchive.s3.amazonaws.com/blobs/333/44c/33344c82-0b1b-48ac-b5b1-ba6eac47f6e2,615047,no_reward,2,889.70893,2379.22055,1489.5116200000002,154,true
https://dandiarchive.s3.amazonaws.com/blobs/333/44c/33344c82-0b1b-48ac-b5b1-ba6eac47f6e2,615047,engaged_2,3,2388.2109699999996,3900.25999,1512.0490200000004,451,true
https://dandiarchive.s3.amazonaws.com/blobs/4d8/ee0/4d8ee03a-8ed6-46af-baef-48bcdc3bda86,615047,engaged_1,1,0.0,888.12559,888.12559,132,true
https://dandiarchive.s3.amazonaws.com/blobs/4d8/ee0/4d8ee03a-8ed6-46af-baef-48bcdc3bda86,615047,no_reward,2,888.8588100000001,2376.16877,1487.30996,154,true
