subject_id,transition,anchor_type,bin_center_minutes,mean_axis_score,n_sessions,n_trials,transition_order,transition_label,anchor_order,anchor_label
615564,withdrawal,pseudo,-3.0,0.05564142472093902,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
615564,withdrawal,pseudo,-1.0,0.0867415669567613,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
615564,withdrawal,pseudo,1.0,-0.002111410220408408,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
615564,withdrawal,pseudo,3.0,0.08280770635700263,2,9,1,Reward withdrawal,2,Within-state pseudo-boundary
615564,withdrawal,pseudo,5.0,0.1071366649323714,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
623319,withdrawal,pseudo,-5.0,0.03913306013709778,2,3,1,Reward withdrawal,2,Within-state pseudo-boundary
623319,withdrawal,pseudo,-3.0,-0.04078657647194541,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
623319,withdrawal,pseudo,-1.0,-0.18293697795499786,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
623319,withdrawal,pseudo,1.0,-0.05598225186562352,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
623319,withdrawal,pseudo,3.0,-0.21100310505075215,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
623319,withdrawal,pseudo,5.0,-0.1611910969745331,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
623322,withdrawal,pseudo,-5.0,0.14699882474273201,3,10,1,Reward withdrawal,2,Within-state pseudo-boundary
623322,withdrawal,pseudo,-3.0,0.20150524123777247,3,10,1,Reward withdrawal,2,Within-state pseudo-boundary
623322,withdrawal,pseudo,-1.0,0.22585402338381652,3,7,1,Reward withdrawal,2,Within-state pseudo-boundary
623322,withdrawal,pseudo,1.0,0.1845668355921727,3,13,1,Reward withdrawal,2,Within-state pseudo-boundary
623322,withdrawal,pseudo,3.0,0.15784055064318334,3,5,1,Reward withdrawal,2,Within-state pseudo-boundary
623322,withdrawal,pseudo,5.0,0.11982308574249052,3,11,1,Reward withdrawal,2,Within-state pseudo-boundary
626279,withdrawal,pseudo,-5.0,0.206797786952224,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
626279,withdrawal,pseudo,-3.0,0.12060334344700367,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
626279,withdrawal,pseudo,-1.0,0.09847550387600912,1,6,1,Reward withdrawal,2,Within-state pseudo-boundary
626279,withdrawal,pseudo,1.0,0.1122829447137168,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
626279,withdrawal,pseudo,3.0,0.08069002840284928,1,1,1,Reward withdrawal,2,Within-state pseudo-boundary
626279,withdrawal,pseudo,5.0,0.08999715308025726,1,4,1,Reward withdrawal,2,Within-state pseudo-boundary
632295,withdrawal,pseudo,-5.0,0.046298143547195685,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
632295,withdrawal,pseudo,-3.0,0.0012281075502176275,1,4,1,Reward withdrawal,2,Within-state pseudo-boundary
632295,withdrawal,pseudo,-1.0,-0.06547879348779083,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
