subject_id,transition_id,transition_order,condition,n_sessions_inventory,n_sessions_in_analysis,real_step,n_sessions_real_step,n_real_window_trials,pseudo_step,n_sessions_pseudo_step,n_pseudo_window_trials,pseudo_controlled_step,n_sessions_pseudo_controlled_step,n_controlled_window_trials,real_latency_step_seconds,n_sessions_real_latency_step_seconds,n_real_window_latency_responses,pseudo_latency_step_seconds,n_sessions_pseudo_latency_step_seconds,n_pseudo_window_latency_responses,pseudo_controlled_latency_step_seconds,n_sessions_pseudo_controlled_latency_step_seconds,n_controlled_window_latency_responses,within_mouse_aggregation
623784,reward_withdrawal,1,catch,4,4,-0.03571428571428571,4,41,-0.24583333333333335,4,35,0.21011904761904765,4,76,0.025474999999971715,1,3,0.014394999999960115,3,11,,0,0,equal_session_mean
623784,reward_withdrawal,1,go,4,4,0.08630952380952377,4,53,0.19295634920634921,4,57,-0.10664682539682545,4,110,0.0040249999999559805,4,41,-0.008345000000019809,4,49,0.01236999999997579,4,90,equal_session_mean
623784,reward_withdrawal,1,go_minus_catch,4,4,0.12202380952380948,4,94,0.43878968253968254,4,92,-0.3167658730158731,4,186,,0,0,,0,0,,0,0,equal_session_mean
623784,reward_restoration,2,catch,4,4,-0.25833333333333336,4,30,0.375,4,33,-0.6333333333333333,4,63,-0.025155000000381733,2,6,,0,0,,0,0,equal_session_mean
623784,reward_restoration,2,go,4,4,0.57012987012987,4,57,-0.1273538961038961,4,64,0.6974837662337663,4,121,0.15952624999999898,4,24,0.020473750000064683,4,26,0.1390524999999343,4,50,equal_session_mean
623784,reward_restoration,2,go_minus_catch,4,4,0.8284632034632035,4,87,-0.5023538961038961,4,97,1.3308170995670996,4,184,,0,0,,0,0,,0,0,equal_session_mean
623786,reward_withdrawal,1,catch,4,4,-0.008333333333333338,4,43,0.039285714285714285,4,42,-0.047619047619047616,4,85,,0,0,0.05000999999998612,1,2,,0,0,equal_session_mean
623786,reward_withdrawal,1,go,4,4,0.2355429292929293,4,70,0.026884920634920623,4,67,0.20865800865800868,4,137,-0.00560999999994749,4,50,0.012668750000003115,4,46,-0.018278749999950605,4,96,equal_session_mean
623786,reward_withdrawal,1,go_minus_catch,4,4,0.24387626262626264,4,113,-0.012400793650793662,4,109,0.2562770562770563,4,222,,0,0,,0,0,,0,0,equal_session_mean
623786,reward_restoration,2,catch,4,4,0.08333333333333333,4,32,-0.07142857142857142,4,43,0.15476190476190477,4,75,,0,0,,0,0,,0,0,equal_session_mean
