_nwb_path,subject_id,ecephys_session_id,recording_day,session_number,is_technically_valid,is_good_session,engaged_1_start_time,engaged_1_stop_time,no_reward_start_time,no_reward_stop_time,engaged_2_start_time,engaged_2_stop_time,transition_id,transition_order,pre_block,post_block,pseudo_block,effect_direction_multiplier,real_boundary_time,pseudo_boundary_time,real_pre_coverage_start,real_pre_coverage_stop,real_post_coverage_start,real_post_coverage_stop,pseudo_coverage_start,pseudo_coverage_stop,boundary_values_valid,latency_direction_multiplier,real_time_window_complete,pseudo_time_window_complete,time_window_seconds,time_bin_width_seconds,trial_window_count,trial_bin_width,effect_window_seconds,pseudo_boundary_definition,included_in_transition_analysis,boundary_status
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,1189336645,EPHYS_1,1,true,false,221.30492,1110.59792,1110.89824,2603.39635,2604.14673,4122.18368,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2603.39635,1857.147295,1110.89824,2603.39635,2603.39635,4122.18368,1110.89824,2603.39635,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,1190094328,EPHYS_3,3,true,false,128.95506,1017.98139,1018.49814,2514.76622,2524.52381,4031.41903,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,1018.49814,573.4682250000001,128.95506,1018.49814,1018.49814,2514.76622,128.95506,1017.98139,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,1190094328,EPHYS_3,3,true,false,128.95506,1017.98139,1018.49814,2514.76622,2524.52381,4031.41903,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2514.76622,1766.63218,1018.49814,2514.76622,2514.76622,4031.41903,1018.49814,2514.76622,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,1180107381,EPHYS_3,3,true,true,37.75713,919.14357,919.87701,2419.86486,2419.88164,3943.08921,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,919.87701,478.45034999999996,37.75713,919.87701,919.87701,2419.86486,37.75713,919.14357,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,1180107381,EPHYS_3,3,true,true,37.75713,919.14357,919.87701,2419.86486,2419.88164,3943.08921,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2419.86486,1669.8709350000001,919.87701,2419.86486,2419.86486,3943.08921,919.87701,2419.86486,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,1179670730,EPHYS_1,1,true,true,37.52345,926.56604,927.16619,2414.34336,2423.351,3944.30707,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,927.16619,482.04474500000003,37.52345,927.16619,927.16619,2414.34336,37.52345,926.56604,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,1179670730,EPHYS_1,1,true,true,37.52345,926.56604,927.16619,2414.34336,2423.351,3944.30707,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2414.34336,1670.7547749999999,927.16619,2414.34336,2414.34336,3944.30707,927.16619,2414.34336,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,1180266229,EPHYS_4,4,true,false,37.68443,927.37782,928.12801,2422.96161,2423.71184,3941.73221,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,928.12801,482.53112500000003,37.68443,928.12801,928.12801,2422.96161,37.68443,927.37782,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,1180266229,EPHYS_4,4,true,false,37.68443,927.37782,928.12801,2422.96161,2423.71184,3941.73221,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2422.96161,1675.5448099999999,928.12801,2422.96161,2422.96161,3941.73221,928.12801,2422.96161,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,1179911454,EPHYS_2,2,true,true,37.80033,926.65955,926.69258,2425.96335,2426.71383,3942.51554,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,926.69258,482.22994,37.80033,926.69258,926.69258,2425.96335,37.80033,926.65955,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,1179911454,EPHYS_2,2,true,true,37.80033,926.65955,926.69258,2425.96335,2426.71383,3942.51554,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2425.96335,1676.327965,926.69258,2425.96335,2425.96335,3942.51554,926.69258,2425.96335,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,1181731440,EPHYS_4,4,true,true,37.1868,919.30684,919.32328,2422.94748,2422.96378,3937.99827,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,919.32328,478.24681999999996,37.1868,919.32328,919.32328,2422.94748,37.1868,919.30684,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,1181731440,EPHYS_4,4,true,true,37.1868,919.30684,919.32328,2422.94748,2422.96378,3937.99827,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2422.94748,1671.13538,919.32328,2422.94748,2422.94748,3937.99827,919.32328,2422.94748,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e00/438/e0043830-9418-4875-88b6-c0b5aefca5ae,614547,1181096406,EPHYS_1,1,true,false,37.61688,919.13677,919.82067,2408.68241,2427.44771,3940.43018,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,919.82067,478.376825,37.61688,919.82067,919.82067,2408.68241,37.61688,919.13677,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
