_nwb_path,subject_id,ecephys_session_id,recording_day,audit_scope,reward_block,block_order,n_trials,n_trials_with_valid_lick_vectors,n_trials_with_invalid_lick_vectors,n_trials_with_valid_response_event,n_trials_without_valid_response_event,n_trials_with_duplicate_lick_timestamps,n_trials_with_duplicate_response_window_licks,n_raw_lick_timestamps,n_unique_lick_timestamps,n_duplicate_lick_timestamps,n_raw_response_window_licks,n_unique_response_window_licks,n_duplicate_response_window_licks,n_response_window_licks,canonical_response_count_is_deduplicated,total_duplicate_count_consistent,response_window_duplicate_count_consistent,fraction_trials_with_duplicate_lick_timestamps,lick_timestamp_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,session_block,engaged_2,3,318,318,0,95,223,0,0,1098,1098,0,111,111,0,111,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,session,all,0,638,638,0,291,347,0,0,1733,1733,0,186,186,0,186,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,session_block,engaged_1,1,203,203,0,37,166,0,0,588,588,0,48,48,0,48,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,session_block,no_reward,2,157,157,0,157,0,0,0,247,247,0,43,43,0,43,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,session_block,engaged_2,3,278,278,0,97,181,0,0,898,898,0,95,95,0,95,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,session,all,0,571,571,0,361,210,0,0,1140,1140,0,145,145,0,145,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,session_block,engaged_1,1,162,162,0,63,99,0,0,616,616,0,90,90,0,90,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,session_block,no_reward,2,160,160,0,160,0,0,0,223,223,0,50,50,0,50,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,session_block,engaged_2,3,249,249,0,138,111,0,0,301,301,0,5,5,0,5,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,session,all,0,565,565,0,334,231,0,0,1047,1047,0,123,123,0,123,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,session_block,engaged_1,1,206,206,0,45,161,0,0,631,631,0,77,77,0,77,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,session_block,no_reward,2,156,156,0,156,0,0,0,198,198,0,31,31,0,31,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,session_block,engaged_2,3,203,203,0,133,70,0,0,218,218,0,15,15,0,15,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,session,all,0,600,600,0,317,283,0,0,1260,1260,0,175,175,0,175,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,session_block,engaged_1,1,174,174,0,47,127,0,0,535,535,0,70,70,0,70,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,session_block,no_reward,2,162,162,0,162,0,0,0,68,68,0,21,21,0,21,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,session_block,engaged_2,3,264,264,0,108,156,0,0,657,657,0,84,84,0,84,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,session,all,0,560,560,0,338,222,0,0,1169,1169,0,184,184,0,184,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,session_block,engaged_1,1,186,186,0,47,139,0,0,524,524,0,71,71,0,71,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,session_block,no_reward,2,159,159,0,159,0,0,0,167,167,0,34,34,0,34,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,session_block,engaged_2,3,215,215,0,132,83,0,0,478,478,0,79,79,0,79,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,session,all,0,581,581,0,322,259,0,0,1335,1335,0,221,221,0,221,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,session_block,engaged_1,1,195,195,0,42,153,0,0,590,590,0,58,58,0,58,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,session_block,no_reward,2,158,158,0,158,0,0,0,216,216,0,55,55,0,55,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,session_block,engaged_2,3,228,228,0,122,106,0,0,529,529,0,108,108,0,108,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,1189820015,EPHYS_2,session,all,0,629,629,0,293,336,0,0,1194,1194,0,69,69,0,69,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,1189820015,EPHYS_2,session_block,engaged_1,1,203,203,0,37,166,0,0,499,499,0,23,23,0,23,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,1189820015,EPHYS_2,session_block,no_reward,2,155,155,0,155,0,0,0,247,247,0,21,21,0,21,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,1189820015,EPHYS_2,session_block,engaged_2,3,271,271,0,101,170,0,0,448,448,0,25,25,0,25,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,1190290940,EPHYS_4,session,all,0,563,563,0,318,245,0,0,1130,1130,0,137,137,0,137,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,1190290940,EPHYS_4,session_block,engaged_1,1,171,171,0,50,121,0,0,452,452,0,51,51,0,51,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,1190290940,EPHYS_4,session_block,no_reward,2,158,158,0,158,0,0,0,142,142,0,37,37,0,37,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,1190290940,EPHYS_4,session_block,engaged_2,3,234,234,0,110,124,0,0,536,536,0,49,49,0,49,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,1189336645,EPHYS_1,session,all,0,540,540,0,354,186,0,0,778,778,0,48,48,0,48,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,1189336645,EPHYS_1,session_block,engaged_1,1,187,187,0,52,135,0,0,445,445,0,26,26,0,26,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,1189336645,EPHYS_1,session_block,no_reward,2,156,156,0,156,0,0,0,185,185,0,22,22,0,22,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,1189336645,EPHYS_1,session_block,engaged_2,3,197,197,0,146,51,0,0,148,148,0,0,0,0,0,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,1190094328,EPHYS_3,session,all,0,629,629,0,292,337,0,0,1323,1323,0,100,100,0,100,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,1190094328,EPHYS_3,session_block,engaged_1,1,168,168,0,53,115,0,0,392,392,0,17,17,0,17,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,1190094328,EPHYS_3,session_block,no_reward,2,154,154,0,154,0,0,0,194,194,0,37,37,0,37,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,1190094328,EPHYS_3,session_block,engaged_2,3,307,307,0,85,222,0,0,737,737,0,46,46,0,46,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,1180107381,EPHYS_3,session,all,0,591,591,0,323,268,0,0,1704,1704,0,201,201,0,201,true,true,true,0.0,pass
