subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_trial_start,relative_trial_stop,relative_trial_center,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
607660,reward_withdrawal,1,real,catch,-1,engaged_1,-8,-1,-4.5,4,4,4,0.16666666666666666,8,2,1,0.3115949999998975,2,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,1,no_reward,1,8,4.5,4,4,4,0.16666666666666666,9,2,1,0.2613600000000247,2,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,2,no_reward,9,16,12.5,4,4,4,0.20833333333333331,10,2,2,0.45357000000001335,2,0,2,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,3,no_reward,17,24,20.5,4,4,4,0.125,6,1,1,0.5951699999998254,1,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,-3,engaged_1,-24,-17,-20.5,4,4,4,0.375,24,9,4,0.3995974999999845,9,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,-2,engaged_1,-16,-9,-12.5,4,4,4,0.6547619047619048,26,17,4,0.4371649999999647,17,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,-1,engaged_1,-8,-1,-4.5,4,4,4,0.5773809523809523,24,13,4,0.42906499999998005,13,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,1,no_reward,1,8,4.5,4,4,4,0.3,23,7,4,0.3366062499999174,7,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,2,no_reward,9,16,12.5,4,4,4,0.27499999999999997,22,6,3,0.34206333333327166,6,0,1,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,3,no_reward,17,24,20.5,4,4,4,0.10714285714285714,26,3,2,0.4114549999998758,3,0,2,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,-3,no_reward,-24,-17,-20.5,4,4,4,0.125,7,1,1,0.3617699999999786,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,-2,no_reward,-16,-9,-12.5,4,4,4,0.125,9,1,1,0.2949399999997695,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,-1,no_reward,-8,-1,-4.5,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,1,no_reward,1,8,4.5,4,4,4,0.0,7,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,2,no_reward,9,16,12.5,4,4,4,0.08333333333333333,8,1,1,0.6284899999998288,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,3,no_reward,17,24,20.5,4,4,4,0.0,8,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,-3,no_reward,-24,-17,-20.5,4,4,4,0.07738095238095238,25,2,2,0.4951650000000427,2,0,2,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,-2,no_reward,-16,-9,-12.5,4,4,4,0.25,23,6,3,0.536568333333245,6,0,1,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,-1,no_reward,-8,-1,-4.5,4,4,4,0.125,23,3,2,0.46185499999995727,3,0,2,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,1,no_reward,1,8,4.5,4,4,4,0.1607142857142857,25,4,3,0.4749566666666472,4,0,1,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,2,no_reward,9,16,12.5,4,4,4,0.08333333333333333,24,2,1,0.5201799999999821,2,0,3,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,3,no_reward,17,24,20.5,4,4,4,0.12142857142857143,24,3,2,0.415892499999984,3,0,2,observed,equal_session_mean
607660,reward_restoration,2,real,catch,-3,no_reward,-24,-17,-20.5,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,real,catch,-2,no_reward,-16,-9,-12.5,4,4,4,0.125,8,1,1,0.3781300000000556,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,real,catch,-1,no_reward,-8,-1,-4.5,4,4,4,0.0,8,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,real,catch,1,engaged_2,1,8,4.5,4,4,4,0.25,8,1,1,0.34519000000000233,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,real,catch,2,engaged_2,9,16,12.5,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,real,catch,3,engaged_2,17,24,20.5,4,4,4,0.08333333333333333,8,1,1,0.4114699999995537,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,real,go,-3,no_reward,-24,-17,-20.5,4,4,4,0.08571428571428572,23,2,2,0.41990499999997155,2,0,2,observed,equal_session_mean
607660,reward_restoration,2,real,go,-2,no_reward,-16,-9,-12.5,4,4,4,0.0,24,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,real,go,-1,no_reward,-8,-1,-4.5,4,4,4,0.20833333333333331,24,5,3,0.5617033333332984,5,0,1,observed,equal_session_mean
607660,reward_restoration,2,real,go,1,engaged_2,1,8,4.5,4,4,4,0.2767857142857143,24,7,3,0.3785549999997784,7,0,1,observed,equal_session_mean
607660,reward_restoration,2,real,go,2,engaged_2,9,16,12.5,4,4,4,0.3214285714285714,23,7,3,0.4539750000000519,7,0,1,observed,equal_session_mean
607660,reward_restoration,2,real,go,3,engaged_2,17,24,20.5,4,4,4,0.35238095238095235,24,8,4,0.4249574999998913,8,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,-3,engaged_1,-24,-17,-20.5,4,4,3,0.1111111111111111,8,1,1,0.4784400000000346,1,1,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,-2,engaged_1,-16,-9,-12.5,4,4,3,0.0,6,0,0,,0,1,4,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,-1,engaged_1,-8,-1,-4.5,4,4,4,0.25,8,1,1,0.5447500000000218,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,1,engaged_1,1,8,4.5,4,4,4,0.125,6,1,1,0.5950800000000527,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,2,engaged_1,9,16,12.5,4,4,4,0.125,9,1,1,0.47820999999987635,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,3,engaged_1,17,24,20.5,4,4,4,0.0,7,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,-3,engaged_1,-24,-17,-20.5,4,4,3,0.6777777777777777,16,11,3,0.47933666666665903,11,1,1,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,-2,engaged_1,-16,-9,-12.5,4,4,3,0.30158730158730157,18,6,2,0.5210400000000277,6,1,2,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,-1,engaged_1,-8,-1,-4.5,4,4,4,0.4928571428571429,24,12,4,0.5121737500000165,12,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,1,engaged_1,1,8,4.5,4,4,4,0.41666666666666663,26,11,3,0.47344666666667007,11,0,1,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,2,engaged_1,9,16,12.5,4,4,4,0.5666666666666667,23,13,4,0.4873387499999495,13,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,3,engaged_1,17,24,20.5,4,4,4,0.6011904761904762,25,15,4,0.5145462499999525,15,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,-3,engaged_1,-24,-17,-20.5,4,4,4,0.0,7,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,-2,engaged_1,-16,-9,-12.5,4,4,4,0.08333333333333333,8,1,1,0.47820999999987635,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,-1,engaged_1,-8,-1,-4.5,4,4,4,0.0,8,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,1,no_reward,1,8,4.5,4,4,4,0.25,6,1,1,0.5282399999998688,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,2,no_reward,9,16,12.5,4,4,4,0.0,10,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,3,no_reward,17,24,20.5,4,4,4,0.08333333333333333,9,1,1,0.16140999999993255,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,-3,engaged_1,-24,-17,-20.5,4,4,4,0.5869047619047619,25,14,4,0.4376249999999402,14,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,-2,engaged_1,-16,-9,-12.5,4,4,4,0.4630952380952381,24,11,4,0.5626349999999718,11,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,-1,engaged_1,-8,-1,-4.5,4,4,4,0.4654761904761905,24,11,4,0.458281249999942,11,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,1,no_reward,1,8,4.5,4,4,4,0.2976190476190476,26,8,4,0.4950987499999684,8,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,2,no_reward,9,16,12.5,4,4,4,0.08333333333333333,22,2,1,0.54553999999996,2,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,3,no_reward,17,24,20.5,4,4,4,0.05,23,1,1,0.4952900000000682,1,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,-3,no_reward,-24,-17,-20.5,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,-2,no_reward,-16,-9,-12.5,4,4,4,0.0,6,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,-1,no_reward,-8,-1,-4.5,4,4,4,0.0,10,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,1,no_reward,1,8,4.5,4,4,4,0.0,7,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,2,no_reward,9,16,12.5,4,4,4,0.0,7,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,3,no_reward,17,24,20.5,4,4,4,0.16666666666666666,8,2,1,0.3532599999998638,2,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,go,-3,no_reward,-24,-17,-20.5,4,4,4,0.041666666666666664,23,1,1,0.5113300000000436,1,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,go,-2,no_reward,-16,-9,-12.5,4,4,4,0.041666666666666664,26,1,1,0.5617499999998472,1,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,go,-1,no_reward,-8,-1,-4.5,4,4,4,0.0,22,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,go,1,no_reward,1,8,4.5,4,4,4,0.14285714285714285,25,4,1,0.6285199999998667,4,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,go,2,no_reward,9,16,12.5,4,4,4,0.0,25,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,go,3,no_reward,17,24,20.5,4,4,4,0.0,24,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,catch,-3,no_reward,-24,-17,-20.5,4,4,4,0.0,6,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,catch,-2,no_reward,-16,-9,-12.5,4,4,4,0.0,8,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,catch,-1,no_reward,-8,-1,-4.5,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,catch,1,engaged_2,1,8,4.5,4,4,4,0.125,8,1,1,0.7450599999997394,1,0,3,observed,equal_session_mean
608671,reward_restoration,2,real,catch,2,engaged_2,9,16,12.5,4,4,4,0.125,8,1,1,0.19441999999980908,1,0,3,observed,equal_session_mean
