subject_id,behavior_block,block_order,response_probability,n_sessions_response_contributing,n_responses,n_go_trials,false_alarm_probability,n_sessions_false_alarm_contributing,n_false_alarms,n_catch_trials,dprime,n_sessions_dprime_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method,n_sessions_contributing
615564,engaged_2_late,4,0.6059679677206851,4,65,112,0.11858974358974358,4,7,67,1.505576444697858,4,4,4,technically_valid,equal_session_mean,4
615564,engaged_1,1,0.8403271692745378,2,63,75,0.21980676328502413,2,9,41,1.6933961172054126,2,4,2,threshold_selected,equal_session_mean,2
615564,no_reward_late,2,0.12154377880184332,2,7,59,0.10526315789473684,2,4,34,0.16059101867064152,2,4,2,threshold_selected,equal_session_mean,2
615564,engaged_2_early,3,0.7550940438871474,2,53,73,0.2785714285714286,2,10,39,1.307910837556824,2,4,2,threshold_selected,equal_session_mean,2
615564,engaged_2_late,4,0.515625,2,26,56,0.15384615384615385,2,4,32,1.268284755355244,2,4,2,threshold_selected,equal_session_mean,2
623319,engaged_1,1,0.8638250319284801,3,69,80,0.2957516339869281,3,13,46,1.5658512781807614,3,3,3,technically_valid,equal_session_mean,3
623319,no_reward_late,2,0.10179294389820705,3,12,119,0.0,3,0,72,0.7562035853760674,3,3,3,technically_valid,equal_session_mean,3
623319,engaged_2_early,3,0.8373275236020334,3,74,88,0.25163398692810457,3,14,58,1.61464406368714,3,3,3,technically_valid,equal_session_mean,3
623319,engaged_2_late,4,0.780969030969031,3,59,76,0.13333333333333333,3,6,45,1.9077060965852823,3,3,3,technically_valid,equal_session_mean,3
623319,engaged_1,1,0.8582375478927202,2,48,56,0.23529411764705882,2,8,34,1.7116031756517007,2,3,2,threshold_selected,equal_session_mean,2
623319,no_reward_late,2,0.05012531328320802,2,4,80,0.0,2,0,48,0.506319345810809,2,3,2,threshold_selected,equal_session_mean,2
623319,engaged_2_early,3,0.8671023965141612,2,53,61,0.2892156862745098,2,11,41,1.6252449935138147,2,3,2,threshold_selected,equal_session_mean,2
623319,engaged_2_late,4,0.8321678321678322,2,40,48,0.2,2,6,30,1.7068991089140089,2,3,2,threshold_selected,equal_session_mean,2
623322,engaged_1,1,0.692979954184082,4,126,184,0.03711640211640212,4,4,108,2.2256491071349505,4,4,4,technically_valid,equal_session_mean,4
623322,no_reward_late,2,0.10934317501069749,4,12,134,0.10217171717171718,4,8,89,-0.0010318232935490335,4,4,4,technically_valid,equal_session_mean,4
623322,engaged_2_early,3,0.6349481691401297,4,122,193,0.043144499178981936,4,5,117,1.9238526821155446,4,4,4,technically_valid,equal_session_mean,4
623322,engaged_2_late,4,0.4518018018018018,4,63,146,0.028594771241830064,4,2,82,1.3458318739221289,4,4,4,technically_valid,equal_session_mean,4
623322,engaged_1,1,0.7736464748598216,3,103,133,0.025679012345679014,3,2,80,2.552970613957386,3,4,3,threshold_selected,equal_session_mean,3
