_nwb_path,subject_id,ecephys_session_id,perturbation_family,condition,interpretation_scope,metric,engaged_1,no_reward,engaged_2,reversible_contrast,n_trials,minimum_block_trials,status
https://dandiarchive.s3.amazonaws.com/blobs/957/44e/95744e7f-8578-44a4-99fe-df9cdaf362fe,623319,1208053773,contrast,reduced,within_identity_im115_contrast,behavior_response,0.6666666666666666,0.05263157894736842,0.45454545454545453,0.5079744816586922,36,6,pass
https://dandiarchive.s3.amazonaws.com/blobs/9ae/cb7/9aecb778-a5a0-4554-8b06-3af01005fea5,623319,1209073822,contrast,reduced,within_identity_im115_contrast,behavior_response,1.0,0.0,0.5833333333333334,0.7916666666666667,37,6,pass
https://dandiarchive.s3.amazonaws.com/blobs/5d9/4f7/5d94f7f7-daa2-4d2d-93a5-1bd2bc02e141,623322,1200471383,contrast,reduced,within_identity_im115_contrast,behavior_response,0.5714285714285714,0.26666666666666666,0.2857142857142857,0.16190476190476188,36,7,pass
https://dandiarchive.s3.amazonaws.com/blobs/3d6/dc4/3d6dc44c-8001-467b-be23-96ba4b22da97,623322,1200659846,contrast,reduced,within_identity_im115_contrast,behavior_response,0.3333333333333333,0.0,0.23529411764705882,0.28431372549019607,42,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/d0e/7e5/d0e7e549-f015-47fe-baa5-db8170c52771,623322,1200878248,contrast,reduced,within_identity_im115_contrast,behavior_response,0.5555555555555556,0.0,0.2857142857142857,0.42063492063492064,40,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/4bd/cd2/4bdcd217-633c-4841-a9b1-208c117f5ea3,626279,1214217748,contrast,reduced,within_identity_im115_contrast,behavior_response,0.75,0.0,0.6923076923076923,0.7211538461538461,38,8,pass
https://dandiarchive.s3.amazonaws.com/blobs/8bb/124/8bb12481-57e1-4f9d-95f0-c2ec49f2e338,632295,1218795542,contrast,reduced,within_identity_im115_contrast,behavior_response,0.4,0.058823529411764705,0.21428571428571427,0.24831932773109244,36,5,pass
https://dandiarchive.s3.amazonaws.com/blobs/db1/7c5/db17c503-6c6e-44c4-921f-4b0ddfa6dbdb,632295,1219127153,contrast,reduced,within_identity_im115_contrast,behavior_response,0.5,0.10526315789473684,0.45454545454545453,0.37200956937799046,36,6,pass
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,contrast,reduced,within_identity_im115_contrast,behavior_response,0.4,0.08333333333333333,0.4,0.3166666666666667,32,10,pass
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,contrast,reduced,within_identity_im115_contrast,behavior_response,0.3333333333333333,0.05,0.17647058823529413,0.20490196078431372,46,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,contrast,reduced,within_identity_im115_contrast,behavior_response,0.0,0.1,0.625,0.2125,46,10,pass
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,contrast,reduced,within_identity_im115_contrast,behavior_response,0.6,0.1111111111111111,0.8125,0.5951388888888889,44,10,pass
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,1232725697,contrast,reduced,within_identity_im115_contrast,behavior_response,0.7777777777777778,0.1,0.4444444444444444,0.5111111111111111,47,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,1243523806,contrast,reduced,within_identity_im115_contrast,behavior_response,0.9,0.15,0.8947368421052632,0.7473684210526317,49,10,pass
https://dandiarchive.s3.amazonaws.com/blobs/4c0/643/4c064370-d6ec-45fb-8be0-edf4ac91097f,642504,1243799530,contrast,reduced,within_identity_im115_contrast,behavior_response,0.8888888888888888,0.11764705882352941,0.8125,0.733047385620915,42,9,pass
https://dandiarchive.s3.amazonaws.com/blobs/559/41e/55941ebd-ef47-4d38-80af-0fabd499db6d,642504,1244070169,contrast,reduced,within_identity_im115_contrast,behavior_response,0.6,0.0,0.47058823529411764,0.5352941176470588,45,10,pass
