subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_bin_start_seconds,relative_bin_stop_seconds,relative_bin_center_seconds,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
607660,reward_withdrawal,1,pseudo,go,-3,engaged_1,-360.0,-240.0,-300.0,4,4,4,0.34464285714285714,19,7,3,0.35117666666665553,7,0,1,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.6845238095238095,21,13,4,0.4060312500000265,13,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.425,19,7,4,0.3593637500000142,7,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,0,engaged_1,0.0,120.0,60.0,4,4,4,0.5285714285714286,22,12,4,0.5039187499999969,12,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,1,engaged_1,120.0,240.0,180.0,4,4,4,0.3988095238095238,17,8,3,0.3755116666666254,8,0,1,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,2,engaged_1,240.0,360.0,300.0,4,4,4,0.6458333333333334,22,13,4,0.4536799999999772,13,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,-3,engaged_1,-360.0,-240.0,-300.0,4,4,3,0.3333333333333333,4,1,1,0.6283799999999928,1,1,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,-2,engaged_1,-240.0,-120.0,-180.0,4,4,3,0.0,6,0,0,,0,1,4,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.16666666666666666,8,2,1,0.3115949999998975,2,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,0,no_reward,0.0,120.0,60.0,4,4,4,0.2125,16,4,2,0.45357000000001335,4,0,2,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,1,no_reward,120.0,240.0,180.0,4,4,4,0.125,11,1,1,0.5951699999998254,1,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,2,no_reward,240.0,360.0,300.0,4,4,4,0.0625,13,1,1,0.19422999999983404,1,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,-3,engaged_1,-360.0,-240.0,-300.0,4,4,4,0.54375,21,11,4,0.39951500000000806,11,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.66875,21,13,4,0.4597349999999665,13,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.569047619047619,22,11,4,0.42285624999996685,11,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,0,no_reward,0.0,120.0,60.0,4,4,4,0.26458333333333334,37,10,4,0.3408374999999353,10,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,1,no_reward,120.0,240.0,180.0,4,4,4,0.18611111111111112,38,7,4,0.47443249999989234,7,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,real,go,2,no_reward,240.0,360.0,300.0,4,4,4,0.22424242424242424,40,9,3,0.453326666666688,9,0,1,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,-3,no_reward,-360.0,-240.0,-300.0,4,4,4,0.16666666666666666,12,2,2,0.5356899999999314,2,0,2,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,-2,no_reward,-240.0,-120.0,-180.0,4,4,4,0.20833333333333331,13,2,2,0.2699200000000701,2,0,2,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,-1,no_reward,-120.0,0.0,-60.0,4,4,4,0.08333333333333333,14,1,1,0.2949399999997695,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,0,no_reward,0.0,120.0,60.0,4,4,4,0.125,11,1,1,0.6284899999998288,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,1,no_reward,120.0,240.0,180.0,4,4,4,0.0,14,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,pseudo,catch,2,no_reward,240.0,360.0,300.0,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,-3,no_reward,-360.0,-240.0,-300.0,4,4,4,0.20202020202020202,40,8,3,0.411658333333321,8,0,1,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,-2,no_reward,-240.0,-120.0,-180.0,4,4,4,0.13522727272727272,39,5,4,0.48850624999997194,5,0,0,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,-1,no_reward,-120.0,0.0,-60.0,4,4,4,0.15833333333333333,37,6,3,0.5396266666666255,6,0,1,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,0,no_reward,0.0,120.0,60.0,4,4,4,0.1505050505050505,39,6,3,0.4804666666666435,6,0,1,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,1,no_reward,120.0,240.0,180.0,4,4,4,0.10555555555555556,36,4,2,0.42006999999995287,4,0,2,observed,equal_session_mean
607660,reward_restoration,2,pseudo,go,2,no_reward,240.0,360.0,300.0,4,4,4,0.10555555555555556,38,4,3,0.5335366666667293,4,0,1,observed,equal_session_mean
607660,reward_restoration,2,real,catch,-3,no_reward,-360.0,-240.0,-300.0,4,4,4,0.0,12,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,real,catch,-2,no_reward,-240.0,-120.0,-180.0,4,4,4,0.0,13,0,0,,0,0,4,observed,equal_session_mean
607660,reward_restoration,2,real,catch,-1,no_reward,-120.0,0.0,-60.0,4,4,4,0.08333333333333333,14,1,1,0.3781300000000556,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,real,catch,0,engaged_2,0.0,120.0,60.0,4,4,3,0.3333333333333333,7,1,1,0.34519000000000233,1,1,3,observed,equal_session_mean
607660,reward_restoration,2,real,catch,1,engaged_2,120.0,240.0,180.0,4,4,3,0.0,5,0,0,,0,1,4,observed,equal_session_mean
607660,reward_restoration,2,real,catch,2,engaged_2,240.0,360.0,300.0,4,4,4,0.0625,10,1,1,0.4114699999995537,1,0,3,observed,equal_session_mean
607660,reward_restoration,2,real,go,-3,no_reward,-360.0,-240.0,-300.0,4,4,4,0.10555555555555556,38,4,2,0.36901499999987664,4,0,2,observed,equal_session_mean
607660,reward_restoration,2,real,go,-2,no_reward,-240.0,-120.0,-180.0,4,4,4,0.0625,34,2,2,0.41990499999997155,2,0,2,observed,equal_session_mean
607660,reward_restoration,2,real,go,-1,no_reward,-120.0,0.0,-60.0,4,4,4,0.125,39,5,3,0.5617033333332984,5,0,1,observed,equal_session_mean
607660,reward_restoration,2,real,go,0,engaged_2,0.0,120.0,60.0,4,4,4,0.14583333333333331,18,3,2,0.3867624999996906,3,0,2,observed,equal_session_mean
607660,reward_restoration,2,real,go,1,engaged_2,120.0,240.0,180.0,4,4,4,0.42500000000000004,25,9,3,0.4316349999999147,9,0,1,observed,equal_session_mean
607660,reward_restoration,2,real,go,2,engaged_2,240.0,360.0,300.0,4,4,4,0.3630952380952381,19,6,4,0.3831900000000701,6,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,-3,engaged_1,-360.0,-240.0,-300.0,4,4,3,0.0,6,0,0,,0,1,4,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.125,9,1,1,0.4784400000000346,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.08333333333333333,9,1,1,0.5447500000000218,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,0,engaged_1,0.0,120.0,60.0,4,4,4,0.125,7,1,1,0.5950800000000527,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,1,engaged_1,120.0,240.0,180.0,4,4,4,0.125,9,1,1,0.47820999999987635,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,catch,2,engaged_1,240.0,360.0,300.0,4,4,4,0.0,8,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,-3,engaged_1,-360.0,-240.0,-300.0,4,4,4,0.75,15,10,4,0.4805912499999909,10,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.3976190476190476,25,10,4,0.43331125000002046,10,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.5277777777777778,26,13,4,0.48537625000002294,13,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,0,engaged_1,0.0,120.0,60.0,4,4,4,0.375,28,11,3,0.47344666666667007,11,0,1,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,1,engaged_1,120.0,240.0,180.0,4,4,4,0.6583333333333333,27,18,4,0.4770149999999518,18,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,pseudo,go,2,engaged_1,240.0,360.0,300.0,4,4,4,0.5104166666666667,26,13,4,0.5501862499999532,13,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,-3,engaged_1,-360.0,-240.0,-300.0,4,4,4,0.0,8,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.08333333333333333,9,1,1,0.47820999999987635,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,0,no_reward,0.0,120.0,60.0,4,4,4,0.125,11,1,1,0.5282399999998688,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,1,no_reward,120.0,240.0,180.0,4,4,4,0.0,15,0,0,,0,0,4,observed,equal_session_mean
608671,reward_withdrawal,1,real,catch,2,no_reward,240.0,360.0,300.0,4,4,4,0.0625,14,1,1,0.16140999999993255,1,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,-3,engaged_1,-360.0,-240.0,-300.0,4,4,4,0.5208333333333333,28,14,4,0.439873749999947,14,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.625,24,14,4,0.547627499999976,14,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.4270833333333333,30,13,4,0.4663724999999346,13,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,0,no_reward,0.0,120.0,60.0,4,4,4,0.22821969696969696,39,9,4,0.4931749999999653,9,0,0,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,1,no_reward,120.0,240.0,180.0,4,4,4,0.0625,35,2,1,0.5287700000000086,2,0,3,observed,equal_session_mean
608671,reward_withdrawal,1,real,go,2,no_reward,240.0,360.0,300.0,4,4,4,0.05277777777777778,37,2,2,0.6618099999999458,2,0,2,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,-3,no_reward,-360.0,-240.0,-300.0,4,4,4,0.0,11,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,-2,no_reward,-240.0,-120.0,-180.0,4,4,4,0.0625,12,1,1,0.5119600000000446,1,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,-1,no_reward,-120.0,0.0,-60.0,4,4,4,0.0,13,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,0,no_reward,0.0,120.0,60.0,4,4,4,0.0,11,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,1,no_reward,120.0,240.0,180.0,4,4,4,0.125,13,2,1,0.3532599999998638,2,0,3,observed,equal_session_mean
608671,reward_restoration,2,pseudo,catch,2,no_reward,240.0,360.0,300.0,4,4,4,0.0,12,0,0,,0,0,4,observed,equal_session_mean
