table_id,table_path,column_name,column_requirement,expected_logical_dtype,n_sources_audited,n_sources_present,n_sources_missing_or_unread,n_sources_compatible,n_sources_incompatible,n_sources_read_error,n_schema_variants,schema_variant_sha256s,observed_physical_dtypes,field_audit_status
trials,/intervals/trials,correct_reject,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,false_alarm,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,go,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,hit,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,id,required,integer,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Int32,pass
trials,/intervals/trials,initial_image_name,required,string,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,String,pass
trials,/intervals/trials,is_change,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,is_sham_change,optional,boolean,99,77,22,77,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,optional_missing
trials,/intervals/trials,lick_times,required,list_numeric,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,List(Float64),pass
trials,/intervals/trials,miss,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
